estado,municipio,codigo
Acre,Acrelândia,1200013
Acre,Assis Brasil,1200054
Acre,Brasiléia,1200104
Acre,Bujari,1200138
Acre,Capixaba,1200179
Acre,Cruzeiro do Sul,1200203
Acre,Epitaciolândia,1200252
Acre,Feijó,1200302
Acre,Jordão,1200328
Acre,Mâncio Lima,1200336
Acre,Manoel Urbano,1200344
Acre,Marechal Thaumaturgo,1200351
Acre,Plácido de Castro,1200385
Acre,Porto Acre,1200807
Acre,Porto Walter,1200393
Acre,Rio Branco,1200401
Acre,Rodrigues Alves,1200427
Acre,Santa Rosa do Purus,1200435
Acre,Sena Madureira,1200500
Acre,Senador Guiomard,1200450
Acre,Tarauacá,1200609
Acre,Xapuri,1200708
Alagoas,Água Branca,2700102
Alagoas,Anadia,2700201
Alagoas,Arapiraca,2700300
Alagoas,Atalaia,2700409
Alagoas,Barra de Santo Antônio,2700508
Alagoas,Barra de São Miguel,2700607
Alagoas,Batalha,2700706
Alagoas,Belém,2700805
Alagoas,Belo Monte,2700904
Alagoas,Boca da Mata,2701001
Alagoas,Branquinha,2701100
Alagoas,Cacimbinhas,2701209
Alagoas,Cajueiro,2701308
Alagoas,Campestre,2701357
Alagoas,Campo Alegre,2701407
Alagoas,Campo Grande,2701506
Alagoas,Canapi,2701605
Alagoas,Capela,2701704
Alagoas,Carneiros,2701803
Alagoas,Chã Preta,2701902
Alagoas,Coité do Nóia,2702009
Alagoas,Colônia Leopoldina,2702108
Alagoas,Coqueiro Seco,2702207
Alagoas,Coruripe,2702306
Alagoas,Craíbas,2702355
Alagoas,Delmiro Gouveia,2702405
Alagoas,Dois Riachos,2702504
Alagoas,Estrela de Alagoas,2702553
Alagoas,Feira Grande,2702603
Alagoas,Feliz Deserto,2702702
Alagoas,Flexeiras,2702801
Alagoas,Girau do Ponciano,2702900
Alagoas,Ibateguara,2703007
Alagoas,Igaci,2703106
Alagoas,Igreja Nova,2703205
Alagoas,Inhapi,2703304
Alagoas,Jacaré dos Homens,2703403
Alagoas,Jacuípe,2703502
Alagoas,Japaratinga,2703601
Alagoas,Jaramataia,2703700
Alagoas,Jequiá da Praia,2703759
Alagoas,Joaquim Gomes,2703809
Alagoas,Jundiá,2703908
Alagoas,Junqueiro,2704005
Alagoas,Lagoa da Canoa,2704104
Alagoas,Limoeiro de Anadia,2704203
Alagoas,Maceió,2704302
Alagoas,Major Isidoro,2704401
Alagoas,Mar Vermelho,2704906
Alagoas,Maragogi,2704500
Alagoas,Maravilha,2704609
Alagoas,Marechal Deodoro,2704708
Alagoas,Maribondo,2704807
Alagoas,Mata Grande,2705002
Alagoas,Matriz de Camaragibe,2705101
Alagoas,Messias,2705200
Alagoas,Minador do Negrão,2705309
Alagoas,Monteirópolis,2705408
Alagoas,Murici,2705507
Alagoas,Novo Lino,2705606
Alagoas,Olho d&apos;Água Grande,2705903
Alagoas,Olho d&apos;Água das Flores,2705705
Alagoas,Olho d&apos;Água do Casado,2705804
Alagoas,Olivença,2706000
Alagoas,Ouro Branco,2706109
Alagoas,Palestina,2706208
Alagoas,Palmeira dos Índios,2706307
Alagoas,Pão de Açúcar,2706406
Alagoas,Pariconha,2706422
Alagoas,Paripueira,2706448
Alagoas,Passo de Camaragibe,2706505
Alagoas,Paulo Jacinto,2706604
Alagoas,Penedo,2706703
Alagoas,Piaçabuçu,2706802
Alagoas,Pilar,2706901
Alagoas,Pindoba,2707008
Alagoas,Piranhas,2707107
Alagoas,Poço das Trincheiras,2707206
Alagoas,Porto Calvo,2707305
Alagoas,Porto Real do Colégio,2707503
Alagoas,Porto de Pedras,2707404
Alagoas,Quebrangulo,2707602
Alagoas,Rio Largo,2707701
Alagoas,Roteiro,2707800
Alagoas,Santa Luzia do Norte,2707909
Alagoas,Santana do Ipanema,2708006
Alagoas,Santana do Mundaú,2708105
Alagoas,São Brás,2708204
Alagoas,São José da Laje,2708303
Alagoas,São José da Tapera,2708402
Alagoas,São Luís do Quitunde,2708501
Alagoas,São Miguel dos Campos,2708600
Alagoas,São Miguel dos Milagres,2708709
Alagoas,São Sebastião,2708808
Alagoas,Satuba,2708907
Alagoas,Senador Rui Palmeira,2708956
Alagoas,Tanque d&apos;Arca,2709004
Alagoas,Taquarana,2709103
Alagoas,Teotônio Vilela,2709152
Alagoas,Traipu,2709202
Alagoas,União dos Palmares,2709301
Alagoas,Viçosa,2709400
Amapá,Amapá,1600105
Amapá,Calçoene,1600204
Amapá,Cutias,1600212
Amapá,Ferreira Gomes,1600238
Amapá,Itaubal,1600253
Amapá,Laranjal do Jari,1600279
Amapá,Macapá,1600303
Amapá,Mazagão,1600402
Amapá,Oiapoque,1600501
Amapá,Pedra Branca do Amapari,1600154
Amapá,Porto Grande,1600535
Amapá,Pracuúba,1600550
Amapá,Santana,1600600
Amapá,Serra do Navio,1600055
Amapá,Tartarugalzinho,1600709
Amapá,Vitória do Jari,1600808
Amazonas,Alvarães,1300029
Amazonas,Amaturá,1300060
Amazonas,Anamã,1300086
Amazonas,Anori,1300102
Amazonas,Apuí,1300144
Amazonas,Atalaia do Norte,1300201
Amazonas,Autazes,1300300
Amazonas,Barcelos,1300409
